"Year","Month","TII"
1950,1,-3.198
1950,2,-2.305
1950,3,-1.822
1950,4,-2.01
1950,5,-2.597
1950,6,-1.794
1950,7,-1.304
1950,8,-1.802
1950,9,-1.942
1950,10,-1.275
1950,11,-2.557
1950,12,-2.359
1951,1,-2.525
1951,2,-1.73
1951,3,-0.883
1951,4,-1.204
1951,5,-0.77
1951,6,-1.476
1951,7,-1.959
1951,8,-1.926
1951,9,-1.852
1951,10,-2.016
1951,11,-1.547
1951,12,-1.442
1952,1,-1.646
1952,2,-1.559
1952,3,-1.606
1952,4,-0.944
1952,5,-1.034
1952,6,-2.766
1952,7,-3.224
1952,8,-3.421
1952,9,-3.564
1952,10,-3.523
1952,11,-3.226
1952,12,-2.986
1953,1,-2.129
1953,2,-1.281
1953,3,-0.547
1953,4,-1.136
1953,5,-1.004
1953,6,-0.802
1953,7,-1.774
1953,8,-1.771
1953,9,-2.296
1953,10,-1.634
1953,11,-2.315
1953,12,-1.825
1954,1,-1.7
1954,2,-0.734
1954,3,-1.332
1954,4,-1.942
1954,5,-1.621
1954,6,-1.966
1954,7,-1.602
1954,8,-2.189
1954,9,-2.499
1954,10,-2.062
1954,11,-1.795
1954,12,-1.579
1955,1,-2.029
1955,2,-1.853
1955,3,-2.04
1955,4,-2.582
1955,5,-2.969
1955,6,-2.814
1955,7,-3.227
1955,8,-3.145
1955,9,-3.71
1955,10,-4.803
1955,11,-5.575
1955,12,-3.926
1956,1,-2.923
1956,2,-2.2
1956,3,-1.553
1956,4,-1.978
1956,5,-0.958
1956,6,-0.156
1956,7,-1.184
1956,8,-1.386
1956,9,-1.284
1956,10,-1.507
1956,11,-1.42
1956,12,-1.594
1957,1,-0.73
1957,2,-0.191
1957,3,0.12
1957,4,1.163
1957,5,1.802
1957,6,0.988
1957,7,0.902
1957,8,-0.491
1957,9,-1.419
1957,10,-1.119
1957,11,-0.635
1957,12,-0.037
1958,1,0.569
1958,2,0.156
1958,3,-0.562
1958,4,-0.873
1958,5,-0.235
1958,6,-0.731
1958,7,-0.968
1958,8,-1.345
1958,9,-2.526
1958,10,-2.056
1958,11,-2.049
1958,12,-1.936
1959,1,-0.853
1959,2,-0.661
1959,3,0.181
1959,4,0.195
1959,5,-0.3
1959,6,-0.284
1959,7,-1.2
1959,8,-1.484
1959,9,-2.484
1959,10,-2.005
1959,11,-1.848
1959,12,-1.69
1960,1,-2.026
1960,2,-2.253
1960,3,-1.141
1960,4,-1.007
1960,5,-1.823
1960,6,-2.364
1960,7,-2.161
1960,8,-2.498
1960,9,-2.461
1960,10,-3.169
1960,11,-2.909
1960,12,-1.814
1961,1,-1.372
1961,2,-1.184
1961,3,-1.525
1961,4,-1.89
1961,5,-1.153
1961,6,-0.286
1961,7,-0.616
1961,8,-1.485
1961,9,-1.832
1961,10,-1.984
1961,11,-1.915
1961,12,-2.454
1962,1,-2.14
1962,2,-2.019
1962,3,-1.801
1962,4,-1.588
1962,5,-1.511
1962,6,-0.682
1962,7,-0.847
1962,8,-0.751
1962,9,-1.659
1962,10,-1.962
1962,11,-2.072
1962,12,-2.584
1963,1,-2.358
1963,2,-2.045
1963,3,-1.07
1963,4,-0.501
1963,5,0.048
1963,6,0.036
1963,7,0.771
1963,8,0.784
1963,9,1.34
1963,10,0.222
1963,11,0.134
1963,12,0.523
1964,1,0.42
1964,2,-0.185
1964,3,-0.818
1964,4,-0.723
1964,5,-1.992
1964,6,-1.801
1964,7,-0.737
1964,8,-0.723
1964,9,-0.873
1964,10,-0.42
1964,11,-1.176
1964,12,-1.202
1965,1,-0.36
1965,2,-0.173
1965,3,-0.334
1965,4,-0.21
1965,5,0.743
1965,6,1.154
1965,7,1.759
1965,8,2.191
1965,9,2.155
1965,10,2.103
1965,11,2.103
1965,12,1.178
1966,1,0.722
1966,2,0.363
1966,3,1.205
1966,4,0.48
1966,5,-0.518
1966,6,0.077
1966,7,0.235
1966,8,-0.647
1966,9,-1.239
1966,10,-1.391
1966,11,-1.356
1966,12,-1.639
1967,1,-1.807
1967,2,-1.733
1967,3,-1.21
1967,4,-1.753
1967,5,0.075
1967,6,0.865
1967,7,0.634
1967,8,-0.028
1967,9,-1.071
1967,10,-0.905
1967,11,-0.002
1967,12,-0.392
1968,1,-0.037
1968,2,-0.642
1968,3,-0.561
1968,4,-0.402
1968,5,-0.519
1968,6,1.506
1968,7,1.513
1968,8,0.989
1968,9,0.253
1968,10,-0.074
1968,11,0.217
1968,12,0.604
1969,1,0.499
1969,2,0.205
1969,3,-0.484
1969,4,-0.117
1969,5,0.697
1969,6,-0.221
1969,7,-0.914
1969,8,0.362
1969,9,0.447
1969,10,0.93
1969,11,0.234
1969,12,-0.184
1970,1,-0.408
1970,2,0.001
1970,3,-0.526
1970,4,-0.154
1970,5,-0.133
1970,6,-0.181
1970,7,-0.6
1970,8,-1.238
1970,9,-1.03
1970,10,-0.659
1970,11,-0.418
1970,12,-0.658
1971,1,-0.827
1971,2,-0.693
1971,3,-0.645
1971,4,0.089
1971,5,0.11
1971,6,0.034
1971,7,0.064
1971,8,0.618
1971,9,0.549
1971,10,-0.529
1971,11,-0.418
1971,12,-0.012
1972,1,0.323
1972,2,1.094
1972,3,1.762
1972,4,1.862
1972,5,3.171
1972,6,3.083
1972,7,3.111
1972,8,3.133
1972,9,2.634
1972,10,2.44
1972,11,2.549
1972,12,3.104
1973,1,3.094
1973,2,3.077
1973,3,1.956
1973,4,0.398
1973,5,-0.665
1973,6,-0.97
1973,7,-1.774
1973,8,-1.751
1973,9,-1.737
1973,10,-1.353
1973,11,-1.732
1973,12,-1.3
1974,1,-0.974
1974,2,-0.847
1974,3,-0.309
1974,4,0.327
1974,5,0.455
